t,gp_get,gp_put,gr_payload,gr_pad,gr_ts_lo,gr_ts_hi,ce_payload,ce_pad,ce_ts_lo,ce_ts_hi,host_payload,host_pad,host_ts_lo,host_ts_hi
1.403477289,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403495871,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403514443,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403533015,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403551583,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403570179,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403588827,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403607408,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403647820,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403666468,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403685116,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403715405,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403734017,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403752663,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403771317,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403789919,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403812440,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403831041,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403849643,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403876341,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403894986,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403913658,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403932327,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403951066,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403969693,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
